address,region,house_size,property_size,sales_price,sales_date
"
          Ekudden 19
        ","
            Rimbo,
          Norrtälje kommun
        ","
                60 m²
             
              3 rum
          ","
              2 235 m² tomt
            ","
            Slutpris 2 100 000 kr
        ","
            Såld 16 november 2022
          "
"
          Södra Atriumvägen 25
        ","
            Grindmossen / Kvisslingby,
          Österåkers kommun
        ","
                125 m²
             
              5 rum
          ","
              164 m² tomt
            ","
            Slutpris 4 075 000 kr
        ","
            Såld 16 november 2022
          "
"
          Täbylundsvägen 82
        ","
            Spånga - Flysta,
          Stockholms kommun
        ","
                166 m²
             
              5 rum
          ","
              985 m² tomt
            ","
            Slutpris 6 800 000 kr
        ","
            Såld 16 november 2022
          "
"
          Smådoppingvägen 4
        ","
            Tollare,
          Nacka kommun
        ","
                199 m²
             
              9 rum
          ","
              684 m² tomt
            ","
            Slutpris 10 050 000 kr
        ","
            Såld 16 november 2022
          "
"
          Skorpvägen 23
        ","
            Bromma - Bällsta,
          Stockholms kommun
        ","
                66
                ","
              434 m² tomt
            ","
            Slutpris 6 500 000 kr
        ","
            Såld 16 november 2022
          "
"
          Småsvaltingens väg 7
        ","
            Ekerö Sandudden,
          Ekerö kommun
        ","
                196 m²
             
              6 rum
          ","
              972 m² tomt
            ","
            Slutpris 10 500 000 kr
        ","
            Såld 15 november 2022
          "
"
          Gymnasievägen 26
        ","
            Stuvsta,
          Huddinge kommun
        ","
                122
                ","
              986 m² tomt
            ","
            Slutpris 6 000 000 kr
        ","
            Såld 15 november 2022
          "
"
          Glimmervägen 1
        ","
            Vega,
          Haninge kommun
        ","
                196
                ","
              1 916 m² tomt
            ","
            Slutpris 10 500 000 kr
        ","
            Såld 15 november 2022
          "
"
          Fortvägen 19
        ","
            Gribbylund,
          Täby kommun
        ","
                176 m²
             
              7 rum
          ","
              811 m² tomt
            ","
            Slutpris 11 000 000 kr
        ","
            Såld 15 november 2022
          "
"
          Häverövägen 186
        ","
            Häverö,
          Norrtälje kommun
        ","
                116
                ","
              2 495 m² tomt
            ","
            Slutpris 1 675 000 kr
        ","
            Såld 15 november 2022
          "
"
          Flottarestigen 32
        ","
            Kvarnskogen,
          Sollentuna kommun
        ","
                110 m²
             
              4 rum
          ","
              274 m² tomt
            ","
            Slutpris 7 300 000 kr
        ","
            Såld 15 november 2022
          "
"
          Birgittavägen 3
        ","
            Hallstavik,
          Norrtälje kommun
        ","
                120 m²
             
              4 rum
          ","
              1 890 m² tomt
            ","
            Slutpris 1 550 000 kr
        ","
            Såld 15 november 2022
          "
"
          Skogssjöstigen 3
        ","
            Barnvik,
          Värmdö kommun
        ","
                52 m²
             
              4 rum
          ","
              2 404 m² tomt
            ","
            Slutpris 3 800 000 kr
        ","
            Såld 15 november 2022
          "
"
          Solrosvägen 6
        ","
            Älvsala,
          Värmdö kommun
        ","
                32
                ","
              2 405 m² tomt
            ","
            Slutpris 2 625 000 kr
        ","
            Såld 15 november 2022
          "
"
          Fagerlundsvägen 6
        ","
            Grödby,
          Nynäshamns kommun
        ","
                72 m²
             
              3 rum
          ","
              1 521 m² tomt
            ","
            Slutpris 2 150 000 kr
        ","
            Såld 15 november 2022
          "
"
          Palmqvists väg 17
        ","
            Gustavsberg - Farsta Slottsvik,
          Värmdö kommun
        ","
                176 m²
             
              6 rum
          ","
              722 m² tomt
            ","
            Slutpris 9 525 000 kr
        ","
            Såld 15 november 2022
          "
"
          Österbylevägen 28
        ","
            Täby Kyrkby,
          Täby kommun
        ","
                170 m²
             
              8 rum
          ","
              1 100 m² tomt
            ","
            Slutpris 9 200 000 kr
        ","
            Såld 15 november 2022
          "
"
          Envägen 4B
        ","
            Älta - Hedvigslund,
          Nacka kommun
        ","
                157 m²
             
              5 rum
          ","
              803 m² tomt
            ","
            Slutpris 9 450 000 kr
        ","
            Såld 15 november 2022
          "
"
          Axvik 17
        ","
            Mörkö,
          Södertälje kommun
        ","
                85
                ","
              2 000 m² tomt
            ","
            Slutpris 1 240 000 kr
        ","
            Såld 15 november 2022
          "
"
          Kryddvägen 5
        ","
            Trollbäcken,
          Tyresö kommun
        ","
                187
                ","
              1 536 m² tomt
            ","
            Slutpris 7 400 000 kr
        ","
            Såld 15 november 2022
          "
