address,region,house_size,property_size,sales_price,sales_date
"
          Storgårdsvägen 1
        ","
            LIDINGÖ,
          Lidingö kommun
        ","
                161
                ","
              1 320 m² tomt
            ","
            Slutpris 14 700 000 kr
        ","
            Såld 20 september 2022
          "
"
          Östervägen 24
        ","
            Käppala,
          Lidingö kommun
        ","
                139
                ","
              810 m² tomt
            ","
            Slutpris 11 700 000 kr
        ","
            Såld 20 september 2022
          "
"
          Lindevägen 28
        ","
            Sofieberg,
          Tyresö kommun
        ","
                130 m²
             
              5 rum
          ","
              752 m² tomt
            ","
            Slutpris 7 000 000 kr
        ","
            Såld 20 september 2022
          "
"
          Högliden 4B
        ","
            Älta - Kolarängen,
          Nacka kommun
        ","
                130 m²
             
              5 rum
          ","
              836 m² tomt
            ","
            Slutpris 8 300 000 kr
        ","
            Såld 20 september 2022
          "
"
          Västanvindsvägen 3
        ","
            Bergshamra  - Enviken,
          Norrtälje kommun
        ","
                119 m²
             
              5 rum
          ","
              1 721 m² tomt
            ","
            Slutpris 2 575 000 kr
        ","
            Såld 20 september 2022
          "
"
          Hakegränd 9
        ","
            Spånga Bromsten,
          Stockholms kommun
        ","
                89
                ","
              884 m² tomt
            ","
            Slutpris 3 700 000 kr
        ","
            Såld 19 september 2022
          "
"
          Tranbärsgränd 5
        ","
            Hässelby Södra Villastad,
          Stockholms kommun
        ","
                166
                ","
              870 m² tomt
            ","
            Slutpris 7 600 000 kr
        ","
            Såld 19 september 2022
          "
"
          Lostigen 6
        ","
            Skeppsdalsström,
          Värmdö kommun
        ","
                201
                ","
              2 273 m² tomt
            ","
            Slutpris 8 500 000 kr
        ","
            Såld 19 september 2022
          "
"
          Rundvägen 7
        ","
            Kvisthamra,
          Norrtälje kommun
        ","
                145
                ","
              873 m² tomt
            ","
            Slutpris 5 200 000 kr
        ","
            Såld 19 september 2022
          "
"
          Harstigen 7
        ","
            Björnkärret,
          Värmdö kommun
        ","
                147 m²
             
              5 rum
          ","
              510 m² tomt
            ","
            Slutpris 6 300 000 kr
        ","
            Såld 19 september 2022
          "
"
          Fjärdingsmansvägen 40A
        ","
            Norrviken,
          Sollentuna kommun
        ","
                101
                ","
              222 m² tomt
            ","
            Slutpris 4 450 000 kr
        ","
            Såld 19 september 2022
          "
"
          Gäddvägen 4
        ","
            Hästhagen,
          Nacka kommun
        ","
                157
                ","
              1 595 m² tomt
            ","
            Slutpris 19 000 000 kr
        ","
            Såld 19 september 2022
          "
"
          Bankvägen 16
        ","
            Häggvik,
          Sollentuna kommun
        ","
                129
                ","
              1 023 m² tomt
            ","
            Slutpris 6 000 000 kr
        ","
            Såld 19 september 2022
          "
"
          Kungsbackevägen 26
        ","
            Rimbo,
          Norrtälje kommun
        ","
                125
                ","
              921 m² tomt
            ","
            Slutpris 3 740 000 kr
        ","
            Såld 19 september 2022
          "
"
          Kungshatt Herrhamn 4
        ","
            Kungshatt,
          Ekerö kommun
        ","
                101 m²
             
              4 rum
          ","
              2 252 m² tomt
            ","
            Slutpris 7 200 000 kr
        ","
            Såld 18 september 2022
          "
"
          Hästnäsvägen 24
        ","
            Lisö/Hästnäs,
          Nynäshamns kommun
        ","
                58
                ","
              18 252 m² tomt
            ","
            Slutpris 4 100 000 kr
        ","
            Såld 18 september 2022
          "
"
          Minkvägen 19
        ","
            Märsta - Norrbacka,
          Sigtuna kommun
        ","
                186 m²
             
              7 rum
          ","
              408 m² tomt
            ","
            Slutpris 4 230 000 kr
        ","
            Såld 18 september 2022
          "
"
          Vattenfallsvägen 2
        ","
            Kvarntorp,
          Haninge kommun
        ","
                196
                ","
              1 215 m² tomt
            ","
            Slutpris 6 800 000 kr
        ","
            Såld 18 september 2022
          "
"
          Hansemans väg 6
        ","
            Bloka,
          Norrtälje kommun
        ","
                80
                ","
              2 047 m² tomt
            ","
            Slutpris 1 450 000 kr
        ","
            Såld 18 september 2022
          "
"
          Martinvägen 28
        ","
            Bromma - Södra Ängby,
          Stockholms kommun
        ","
                161
                ","
              539 m² tomt
            ","
            Slutpris 15 500 000 kr
        ","
            Såld 18 september 2022
          "
"
          Spinnarevägen 51
        ","
            Fresta,
          Upplands Väsby kommun
        ","
                149 m²
             
              6 rum
          ","
              653 m² tomt
            ","
            Slutpris 5 995 000 kr
        ","
            Såld 18 september 2022
          "
"
          Tysk-Elis väg 26
        ","
            Väddö,
          Norrtälje kommun
        ","
                130 m²
             
              4 rum
          ","
              3 282 m² tomt
            ","
            Slutpris 2 275 000 kr
        ","
            Såld 17 september 2022
          "
"
          Myntvägen 10
        ","
            Skälby,
          Järfälla kommun
        ","
                117
                ","
              1 742 m² tomt
            ","
            Slutpris 7 000 000 kr
        ","
            Såld 17 september 2022
          "
"
          Alstersvägen 28
        ","
            Bromma Nockebyhov,
          Stockholms kommun
        ","
                87
                ","
              506 m² tomt
            ","
            Slutpris 9 800 000 kr
        ","
            Såld 17 september 2022
          "
"
          Klövervägen 8
        ","
            Viksjö,
          Järfälla kommun
        ","
                131 m²
             
              7 rum
          ","
              525 m² tomt
            ","
            Slutpris 6 250 000 kr
        ","
            Såld 16 september 2022
          "
"
          Dan Bergmans väg 3
        ","
            Östertälje,
          Södertälje kommun
        ","
                130
                ","
              936 m² tomt
            ","
            Slutpris 6 200 000 kr
        ","
            Såld 16 september 2022
          "
"
          Blekingevägen 35
        ","
            Ormsta,
          Vallentuna kommun
        ","
                154 m²
             
              7 rum
          ","
              367 m² tomt
            ","
            Slutpris 5 075 000 kr
        ","
            Såld 16 september 2022
          "
"
          Florettvägen 12B
        ","
            Margretelund,
          Österåkers kommun
        ","
                187 m²
             
              6 rum
          ","
              892 m² tomt
            ","
            Slutpris 9 200 000 kr
        ","
            Såld 16 september 2022
          "
"
          Kyrkbyvägen 50
        ","
            Bro - Håbo-tibble,
          Upplands-Bro kommun
        ","
                100
                ","
              16 620 m² tomt
            ","
            Slutpris 6 150 000 kr
        ","
            Såld 16 september 2022
          "
"
          Violvägen 9A
        ","
            Snapptuna,
          Vallentuna kommun
        ","
                124
                ","
              571 m² tomt
            ","
            Slutpris 4 700 000 kr
        ","
            Såld 16 september 2022
          "
"
          Tornugglevägen 13
        ","
            Tumba - Skäcklinge,
          Botkyrka kommun
        ","
                139
                ","
              811 m² tomt
            ","
            Slutpris 5 950 000 kr
        ","
            Såld 16 september 2022
          "
"
          Stjärnfallsvägen 2
        ","
            Spånga Solhem,
          Stockholms kommun
        ","
                197 m²
             
              5 rum
          ","
              671 m² tomt
            ","
            Slutpris 11 100 000 kr
        ","
            Såld 16 september 2022
          "
"
          Spångvägen 6
        ","
            Baltora,
          Norrtälje kommun
        ","
                93 m²
             
              3 rum
          ","
              2 271 m² tomt
            ","
            Slutpris 3 200 000 kr
        ","
            Såld 16 september 2022
          "
"
          Myrslingan 9
        ","
            Fagerholm,
          Värmdö kommun
        ","
                75 m²
             
              3 rum
          ","
              2 382 m² tomt
            ","
            Slutpris 5 800 000 kr
        ","
            Såld 16 september 2022
          "
"
          Vretvägen 6
        ","
            Järna,
          Södertälje kommun
        ","
                75
                ","
              1 218 m² tomt
            ","
            Slutpris 3 300 000 kr
        ","
            Såld 16 september 2022
          "
"
          Borgbyvägen 13C
        ","
            Bollstanäs,
          Upplands Väsby kommun
        ","
                160 m²
             
              6 rum
          ","
              970 m² tomt
            ","
            Slutpris 8 100 000 kr
        ","
            Såld 16 september 2022
          "
"
          Tapetserarvägen 21
        ","
            Bromma - Olovslund,
          Stockholms kommun
        ","
                150
                ","
              545 m² tomt
            ","
            Slutpris 12 250 000 kr
        ","
            Såld 16 september 2022
          "
"
          Skogsleden 13
        ","
            Skogås,
          Huddinge kommun
        ","
                47 m²
             
              2 rum
          ","
              3 810 m² tomt
            ","
            Slutpris 3 550 000 kr
        ","
            Såld 16 september 2022
          "
"
          Nickelvägen 8
        ","
            Skarpäng,
          Täby kommun
        ","
                179
                ","
              987 m² tomt
            ","
            Slutpris 9 170 000 kr
        ","
            Såld 16 september 2022
          "
"
          Nänningevik 39
        ","
            Nänninge,
          Norrtälje kommun
        ","
                100 m²
             
              4 rum
          ","
              2 106 m² tomt
            ","
            Slutpris 2 600 000 kr
        ","
            Såld 16 september 2022
          "
"
          Vårbergsvägen 143
        ","
            Johannesdal,
          Stockholms kommun
        ","
                145
                ","
              739 m² tomt
            ","
            Slutpris 5 200 000 kr
        ","
            Såld 16 september 2022
          "
"
          Åkerövägen 11
        ","
            Torshäll,
          Värmdö kommun
        ","
                160 m²
             
              7 rum
          ","
              975 m² tomt
            ","
            Slutpris 7 100 000 kr
        ","
            Såld 16 september 2022
          "
"
          Bolkavägen 34
        ","
            Kvisthamra,
          Norrtälje kommun
        ","
                110
                ","
              826 m² tomt
            ","
            Slutpris 5 495 000 kr
        ","
            Såld 16 september 2022
          "
"
          Björkudden 460
        ","
            Blidö - Björkudden,
          Norrtälje kommun
        ","
                72 m²
             
              3 rum
          ","
              2 148 m² tomt
            ","
            Slutpris 6 050 000 kr
        ","
            Såld 16 september 2022
          "
"
          Lillängsbergsvägen 5
        ","
            Ingarö - Lillängsdal,
          Värmdö kommun
        ","
                120 m²
             
              4 rum
          ","
              1 694 m² tomt
            ","
            Slutpris 6 150 000 kr
        ","
            Såld 16 september 2022
          "
"
          Hamngatan 30
        ","
            Centrum,
          Vaxholms kommun
        ","
                191 m²
             
              8 rum
          ","
              278 m² tomt
            ","
            Slutpris 13 000 000 kr
        ","
            Såld 16 september 2022
          "
"
          Miklagård 7
        ","
          Södertälje kommun
        ","
                50 m²
             
          ","
              4 300 m² tomt
            ","
            Slutpris 3 900 000 kr
        ","
            Såld 16 september 2022
          "
"
          Hasselnötsvägen 5
        ","
            Älta - Hedvigslund,
          Nacka kommun
        ","
                108 m²
             
              4 rum
          ","
              310 m² tomt
            ","
            Slutpris 5 375 000 kr
        ","
            Såld 16 september 2022
          "
"
          Travarvägen 6
        ","
            Östertälje,
          Södertälje kommun
        ","
                118 m²
             
              5 rum
          ","
              386 m² tomt
            ","
            Slutpris 4 595 000 kr
        ","
            Såld 16 september 2022
          "
"
          Bäckvägen 9
        ","
            Centrala Sigtuna,
          Sigtuna kommun
        ","
                96
                ","
              774 m² tomt
            ","
            Slutpris 7 800 000 kr
        ","
            Såld 15 september 2022
          "
"
          Sjöhagsvägen 39
        ","
            Rånäs,
          Norrtälje kommun
        ","
                120 m²
             
              5 rum
          ","
              732 m² tomt
            ","
            Slutpris 1 710 000 kr
        ","
            Såld 15 september 2022
          "
"
          Malmsjövägen 18
        ","
            Uttran,
          Botkyrka kommun
        ","
                101
                ","
              672 m² tomt
            ","
            Slutpris 4 500 000 kr
        ","
            Såld 15 september 2022
          "
"
          Sångarvägen 17
        ","
            Ellapark,
          Täby kommun
        ","
                155
                ","
              1 066 m² tomt
            ","
            Slutpris 11 220 000 kr
        ","
            Såld 15 september 2022
          "
"
          Dalbovägen 17
        ","
            Sättra,
          Norrtälje kommun
        ","
                73 m²
             
              3 rum
          ","
              2 213 m² tomt
            ","
            Slutpris 2 200 000 kr
        ","
            Såld 15 september 2022
          "
"
          Personnevägen 48
        ","
            Mälarhöjden,
          Stockholms kommun
        ","
                139
                ","
              703 m² tomt
            ","
            Slutpris 8 500 000 kr
        ","
            Såld 15 september 2022
          "
"
          Aniaravägen 15
        ","
            Trångsund,
          Huddinge kommun
        ","
                219
                ","
              1 084 m² tomt
            ","
            Slutpris 6 850 000 kr
        ","
            Såld 15 september 2022
          "
"
          Bergholmsvägen 4B
        ","
            Centrala Huddinge,
          Huddinge kommun
        ","
                166
                ","
              1 462 m² tomt
            ","
            Slutpris 9 600 000 kr
        ","
            Såld 15 september 2022
          "
"
          Planetstigen 12
        ","
            Käppala,
          Lidingö kommun
        ","
                165
                ","
              610 m² tomt
            ","
            Slutpris 12 050 000 kr
        ","
            Såld 15 september 2022
          "
"
          Masbyvägen 20
        ","
            Upplunda,
          Norrtälje kommun
        ","
                180 m²
             
              5 rum
          ","
              4 486 m² tomt
            ","
            Slutpris 7 050 000 kr
        ","
            Såld 15 september 2022
          "
"
          Mossvägen 122
        ","
            Fullersta,
          Huddinge kommun
        ","
                115 m²
             
              5 rum
          ","
              1 563 m² tomt
            ","
            Slutpris 5 500 000 kr
        ","
            Såld 15 september 2022
          "
"
          Bergdalsvägen 6
        ","
            Björknäs,
          Nacka kommun
        ","
                148 m²
             
              6 rum
          ","
              726 m² tomt
            ","
            Slutpris 10 650 000 kr
        ","
            Såld 15 september 2022
          "
"
          Vitvingevägen 72
        ","
            Stuvsta / Myrängen,
          Huddinge kommun
        ","
                140 m²
             
              6 rum
          ","
              316,2 m² tomt
            ","
            Slutpris 6 810 000 kr
        ","
            Såld 15 september 2022
          "
"
          Mjölvägen 18
        ","
            Bromma - Bällsta,
          Stockholms kommun
        ","
                70
                ","
              448 m² tomt
            ","
            Slutpris 5 400 000 kr
        ","
            Såld 15 september 2022
          "
"
          Marsjövägen 3
        ","
            Bodatorp,
          Värmdö kommun
        ","
                60
                ","
              2 448 m² tomt
            ","
            Slutpris 2 050 000 kr
        ","
            Såld 15 september 2022
          "
"
          Hästskoringen 18B
        ","
            Svinninge sjötomt,
          Österåkers kommun
        ","
             
              10 rum
          ","
              3 660 m² tomt
            ","
            Slutpris 25 000 000 kr
        ","
            Såld 15 september 2022
          "
"
          Vallvägen 12
        ","
            Lervik,
          Österåkers kommun
        ","
                92
                ","
              2 292 m² tomt
            ","
            Slutpris 5 600 000 kr
        ","
            Såld 15 september 2022
          "
"
          Föreningsvägen 9
        ","
            Edsviken,
          Sollentuna kommun
        ","
                128
                ","
              902 m² tomt
            ","
            Slutpris 14 000 000 kr
        ","
            Såld 15 september 2022
          "
"
          Mörtstigen 14
        ","
            Värmdövik,
          Värmdö kommun
        ","
                53 m²
             
              3 rum
          ","
              2 101 m² tomt
            ","
            Slutpris 5 510 000 kr
        ","
            Såld 15 september 2022
          "
"
          Björkhagsvägen 8
        ","
            Ektorp,
          Nacka kommun
        ","
                148 m²
             
              7 rum
          ","
              791 m² tomt
            ","
            Slutpris 7 800 000 kr
        ","
            Såld 15 september 2022
          "
"
          Fjärdingsmansvägen 210
        ","
            Norrviken,
          Sollentuna kommun
        ","
                129
                ","
              247 m² tomt
            ","
            Slutpris 5 900 000 kr
        ","
            Såld 15 september 2022
          "
"
          Vikingavägen 19
        ","
            Edsviken,
          Sollentuna kommun
        ","
                237 m²
             
              9 rum
          ","
              1 603 m² tomt
            ","
            Slutpris 12 600 000 kr
        ","
            Såld 15 september 2022
          "
"
          Duvnäsvägen 54
        ","
            Saltsjö-Duvnäs,
          Nacka kommun
        ","
                235
                ","
              2 539 m² tomt
            ","
            Slutpris 18 050 000 kr
        ","
            Såld 15 september 2022
          "
"
          Östervägen 47
        ","
            Nälsta,
          Stockholms kommun
        ","
                156
                ","
              761 m² tomt
            ","
            Slutpris 7 900 000 kr
        ","
            Såld 15 september 2022
          "
"
          Åsbacken 19
        ","
            Bromma - Ålsten,
          Stockholms kommun
        ","
                192
                ","
              1 065 m² tomt
            ","
            Slutpris 22 500 000 kr
        ","
            Såld 15 september 2022
          "
"
          Sävsångarvägen 5
        ","
            Älta,
          Nacka kommun
        ","
                140 m²
             
              6 rum
          ","
              748 m² tomt
            ","
            Slutpris 10 100 000 kr
        ","
            Såld 15 september 2022
          "
"
          Fågelsångsvägen 64
        ","
            Fågelsången,
          Norrtälje kommun
        ","
                128
                ","
              1 004 m² tomt
            ","
            Slutpris 4 000 000 kr
        ","
            Såld 15 september 2022
          "
"
          Olof Skötkonungs väg 41
        ","
            Sigtuna - Prästängarna,
          Sigtuna kommun
        ","
                182 m²
             
              7 rum
          ","
              486 m² tomt
            ","
            Slutpris 5 300 000 kr
        ","
            Såld 15 september 2022
          "
"
          Svalvägen 4
        ","
            Mosstorp,
          Lidingö kommun
        ","
                265
                ","
              1 254 m² tomt
            ","
            Slutpris 14 500 000 kr
        ","
            Såld 15 september 2022
          "
"
          Huddungegränd 10
        ","
            Brunnby Vik,
          Upplands Väsby kommun
        ","
                106
                ","
              682 m² tomt
            ","
            Slutpris 6 000 000 kr
        ","
            Såld 14 september 2022
          "
"
          Svartträskvägen 11
        ","
            Vätö,
          Norrtälje kommun
        ","
                37
                ","
              2 324 m² tomt
            ","
            Slutpris 1 995 000 kr
        ","
            Såld 14 september 2022
          "
"
          Dragonvägen 5
        ","
            Trollbäcken / Skälsätra,
          Tyresö kommun
        ","
                160 m²
             
              5 rum
          ","
              1 649 m² tomt
            ","
            Slutpris 7 610 000 kr
        ","
            Såld 14 september 2022
          "
"
          Björkstigen 6
        ","
            Fullersta,
          Huddinge kommun
        ","
                210 m²
             
              7 rum
          ","
              1 086 m² tomt
            ","
            Slutpris 9 100 000 kr
        ","
            Såld 14 september 2022
          "
"
          Bockhornskröken 12
        ","
            Mälarhöjden,
          Stockholms kommun
        ","
                125
                ","
              618 m² tomt
            ","
            Slutpris 8 050 000 kr
        ","
            Såld 14 september 2022
          "
"
          Näktergalsvägen 9
        ","
            Farsta,
          Huddinge kommun
        ","
                54
                ","
              2 483 m² tomt
            ","
            Slutpris 4 770 000 kr
        ","
            Såld 14 september 2022
          "
"
          Åvägen 2
        ","
            Öringe,
          Tyresö kommun
        ","
                150
                ","
              1 129 m² tomt
            ","
            Slutpris 8 800 000 kr
        ","
            Såld 14 september 2022
          "
"
          Tranbärsstigen 2
        ","
            Roslags Näsby,
          Täby kommun
        ","
                88
                ","
              960 m² tomt
            ","
            Slutpris 7 600 000 kr
        ","
            Såld 14 september 2022
          "
"
          Ripvägen 21B
        ","
            Barkarby,
          Järfälla kommun
        ","
                120 m²
             
              5 rum
          ","
              725 m² tomt
            ","
            Slutpris 7 650 000 kr
        ","
            Såld 14 september 2022
          "
"
          Rådmaringen 13
        ","
            Rådmansö,
          Norrtälje kommun
        ","
                70
                ","
              2 260 m² tomt
            ","
            Slutpris 3 400 000 kr
        ","
            Såld 14 september 2022
          "
"
          Bigårdsvägen 2
        ","
            Ekerö - Närlunda,
          Ekerö kommun
        ","
                192
                ","
              970 m² tomt
            ","
            Slutpris 8 140 000 kr
        ","
            Såld 14 september 2022
          "
"
          Götavägen 31B
        ","
            Töjnan,
          Sollentuna kommun
        ","
                126
                ","
              947 m² tomt
            ","
            Slutpris 8 400 000 kr
        ","
            Såld 14 september 2022
          "
"
          Skollholmsvägen 57 samt del av Singö-Söderby 10:3
        ","
            Singö,
          Norrtälje kommun
        ","
                73 m²
             
              4 rum
          ","
              3 632 m² tomt
            ","
            Slutpris 2 290 000 kr
        ","
            Såld 14 september 2022
          "
"
          Södra Parkhemsvägen 20
        ","
            Tullinge,
          Botkyrka kommun
        ","
                120
                ","
              1 790 m² tomt
            ","
            Slutpris 6 875 000 kr
        ","
            Såld 14 september 2022
          "
"
          Blixtvägen 6
        ","
            Berghem,
          Järfälla kommun
        ","
                155
                ","
              1 048 m² tomt
            ","
            Slutpris 7 610 000 kr
        ","
            Såld 14 september 2022
          "
"
          Tvärvägen 6
        ","
            Krigslida,
          Haninge kommun
        ","
                100
                ","
              824 m² tomt
            ","
            Slutpris 4 975 000 kr
        ","
            Såld 14 september 2022
          "
"
          Rindövägen 97
        ","
            Rindö,
          Vaxholms kommun
        ","
                197 m²
             
              9 rum
          ","
              3 436 m² tomt
            ","
            Slutpris 7 700 000 kr
        ","
            Såld 14 september 2022
          "
"
          Hällenstigen 7A
        ","
            Rönninge,
          Salems kommun
        ","
                132 m²
             
              5 rum
          ",,"
            Slutpris 4 650 000 kr
        ","
            Såld 14 september 2022
          "
"
          Lövåsen 2
        ","
            Skeppsdalsström,
          Värmdö kommun
        ","
                197
                ","
              2 153 m² tomt
            ","
            Slutpris 9 000 000 kr
        ","
            Såld 13 september 2022
          "
"
          Kämpabacken 20
        ","
            Ekerö Sommarstad,
          Ekerö kommun
        ","
                226
                ","
              1 270 m² tomt
            ","
            Slutpris 6 600 000 kr
        ","
            Såld 13 september 2022
          "
"
          Storgärdesvägen 20
        ","
            Djurö,
          Värmdö kommun
        ","
                75 m²
             
              4 rum
          ","
              3 738 m² tomt
            ","
            Slutpris 3 725 000 kr
        ","
            Såld 13 september 2022
          "
"
          Blidövägen 375
        ","
            Sikmarö,
          Norrtälje kommun
        ","
                100 m²
             
              4 rum
          ","
              3 561 m² tomt
            ","
            Slutpris 3 900 000 kr
        ","
            Såld 13 september 2022
          "
"
          Vikingavägen 25A
        ","
            Edsviken,
          Sollentuna kommun
        ","
                281
                ","
              805 m² tomt
            ","
            Slutpris 11 300 000 kr
        ","
            Såld 13 september 2022
          "
"
          Älgmossevägen 9
        ","
            Ådran,
          Huddinge kommun
        ","
                82
                ","
              4 138 m² tomt
            ","
            Slutpris 4 750 000 kr
        ","
            Såld 13 september 2022
          "
"
          Furulundsvägen 19
        ","
            Östra Bällsta,
          Vallentuna kommun
        ","
                143
                ","
              692 m² tomt
            ","
            Slutpris 6 000 000 kr
        ","
            Såld 13 september 2022
          "
"
          Jägarstigen 61
        ","
            Bo,
          Lidingö kommun
        ","
                180
                ","
              692 m² tomt
            ","
            Slutpris 13 000 000 kr
        ","
            Såld 13 september 2022
          "
"
          Reginastigen 13
        ","
            Glömsta,
          Huddinge kommun
        ","
                196 m²
             
              7 rum
          ","
              1 668 m² tomt
            ","
            Slutpris 10 080 000 kr
        ","
            Såld 13 september 2022
          "
"
          Tjusarstigen 77
        ","
            Turinge,
          Nykvarns kommun
        ","
                89
                ","
              881 m² tomt
            ","
            Slutpris 3 500 000 kr
        ","
            Såld 13 september 2022
          "
"
          Troxhammar byväg 10
        ","
            Färingsö, Svartsjö,
          Ekerö kommun
        ","
                132
                ","
              1 903 m² tomt
            ","
            Slutpris 4 210 000 kr
        ","
            Såld 13 september 2022
          "
"
          Haghultavägen 7A
        ","
            Fruvik Haghulta,
          Värmdö kommun
        ","
                110 m²
             
              7 rum
          ","
              1 741 m² tomt
            ","
            Slutpris 14 500 000 kr
        ","
            Såld 13 september 2022
          "
"
          Fyndvägen 11
        ","
            Skälby,
          Järfälla kommun
        ","
                192
                ","
              1 981 m² tomt
            ","
            Slutpris 9 200 000 kr
        ","
            Såld 13 september 2022
          "
"
          Insjövägen 4
        ","
            Insjövägen - Håtö,
          Norrtälje kommun
        ","
                46 m²
             
              3 rum
          ","
              4 826 m² tomt
            ","
            Slutpris 1 100 000 kr
        ","
            Såld 13 september 2022
          "
"
          Malungsvägen 255
        ","
            Viby,
          Sollentuna kommun
        ","
                137 m²
             
              5 rum
          ","
              279 m² tomt
            ","
            Slutpris 5 500 000 kr
        ","
            Såld 13 september 2022
          "
"
          Sommarliden 7
        ","
            Tyresö strand,
          Tyresö kommun
        ","
                145 m²
             
              5 rum
          ","
              1 550 m² tomt
            ","
            Slutpris 5 800 000 kr
        ","
            Såld 13 september 2022
          "
"
          Hedebyvägen 43
        ","
            Norra Ängby,
          Stockholms kommun
        ","
                67
                ","
              502 m² tomt
            ","
            Slutpris 7 700 000 kr
        ","
            Såld 12 september 2022
          "
"
          Grönstensvägen 6
        ","
            Skälby,
          Järfälla kommun
        ","
                208
                ","
              1 457 m² tomt
            ","
            Slutpris 7 995 000 kr
        ","
            Såld 12 september 2022
          "
"
          Svensborgsvägen 12
        ","
            Stuvsta,
          Huddinge kommun
        ","
                104
                ","
              880 m² tomt
            ","
            Slutpris 5 900 000 kr
        ","
            Såld 12 september 2022
          "
"
          Basvägen 7
        ","
            Stuvsta,
          Huddinge kommun
        ","
                107
                ","
              1 172 m² tomt
            ","
            Slutpris 6 550 000 kr
        ","
            Såld 12 september 2022
          "
"
          Biskop Johannes väg 22
        ","
            Stäket,
          Järfälla kommun
        ","
                182
                ","
              1 115 m² tomt
            ","
            Slutpris 9 125 000 kr
        ","
            Såld 12 september 2022
          "
"
          Sätraängsvägen 86
        ","
            Danderyd Nora,
          Danderyds kommun
        ","
                157
                ","
              918 m² tomt
            ","
            Slutpris 11 700 000 kr
        ","
            Såld 12 september 2022
          "
"
          Utgårdsvägen 5A
        ","
            Spånga Nälsta,
          Stockholms kommun
        ","
                165
                ","
              726 m² tomt
            ","
            Slutpris 8 000 000 kr
        ","
            Såld 12 september 2022
          "
"
          Hogsta 16
        ","
            Drottningholm,
          Ekerö kommun
        ","
                70 m²
             
              4 rum
          ","
              1 640 m² tomt
            ","
            Slutpris 6 250 000 kr
        ","
            Såld 12 september 2022
          "
"
          Tolvmansvägen 10
        ","
            Norrviken,
          Sollentuna kommun
        ","
                178 m²
             
              7 rum
          ","
              736 m² tomt
            ","
            Slutpris 8 500 000 kr
        ","
            Såld 12 september 2022
          "
"
          Hagtornsvägen 6
        ","
            Karlhov,
          Södertälje kommun
        ","
                57
                ","
              867 m² tomt
            ","
            Slutpris 2 880 000 kr
        ","
            Såld 12 september 2022
          "
"
          Svarttorp 22
        ","
            Järna,
          Södertälje kommun
        ","
                165
                ","
              2 465 m² tomt
            ","
            Slutpris 5 200 000 kr
        ","
            Såld 12 september 2022
          "
"
          Petunievägen 26
        ","
            Tullinge Trädgårdsstad,
          Botkyrka kommun
        ","
                99 m²
             
              3,5 rum
          ","
              250 m² tomt
            ","
            Slutpris 5 210 000 kr
        ","
            Såld 12 september 2022
          "
"
          Glasyrvägen 22
        ","
            Brunna - Kungsängen,
          Upplands-Bro kommun
        ","
                138 m²
             
              5 rum
          ","
              410 m² tomt
            ","
            Slutpris 5 280 000 kr
        ","
            Såld 12 september 2022
          "
"
          Norra Parkvägen 4
        ","
            Stuvsta,
          Huddinge kommun
        ","
                180
                ","
              820 m² tomt
            ","
            Slutpris 8 465 000 kr
        ","
            Såld 12 september 2022
          "
"
          Tibastvägen 23
        ","
            Älta - Hedvigslund,
          Nacka kommun
        ","
                138
                ","
              484 m² tomt
            ","
            Slutpris 8 995 000 kr
        ","
            Såld 12 september 2022
          "
"
          Viggebyvägen 27
        ","
            Rosersberg,
          Sigtuna kommun
        ","
                134
                ","
              981 m² tomt
            ","
            Slutpris 5 600 000 kr
        ","
            Såld 12 september 2022
          "
"
          Granvägen 17
        ","
            Rimbo,
          Norrtälje kommun
        ","
                98
                ","
              977 m² tomt
            ","
            Slutpris 3 010 000 kr
        ","
            Såld 12 september 2022
          "
"
          Mörtnäsvägen 12A
        ","
            Mörtnäs,
          Värmdö kommun
        ","
                182
                ","
              1 405 m² tomt
            ","
            Slutpris 17 500 000 kr
        ","
            Såld 12 september 2022
          "
"
          Sven Wallanders väg 89
        ","
            Årsta Havsbad,
          Haninge kommun
        ","
                78 m²
             
              4 rum
          ","
              651 m² tomt
            ","
            Slutpris 5 075 000 kr
        ","
            Såld 12 september 2022
          "
"
          Tjäderstigen 8
        ","
            Lingsberg,
          Vallentuna kommun
        ","
                108 m²
             
              3 rum
          ","
              2 232 m² tomt
            ","
            Slutpris 3 600 000 kr
        ","
            Såld 11 september 2022
          "
"
          Kärrvägen 29
        ","
            Jakobsberg,
          Järfälla kommun
        ","
                71
                ","
              1 749 m² tomt
            ","
            Slutpris 7 750 000 kr
        ","
            Såld 11 september 2022
          "
"
          Lunglavsvägen 8
        ","
            Sjöängen,
          Huddinge kommun
        ","
                176
                ","
              1 206 m² tomt
            ","
            Slutpris 9 675 000 kr
        ","
            Såld 11 september 2022
          "
"
          Karlslundsvägen 29
        ","
            Älvsjö - Långsjö,
          Stockholms kommun
        ","
                70
                ","
              870 m² tomt
            ","
            Slutpris 6 310 000 kr
        ","
            Såld 11 september 2022
          "
"
          Hammarlunds gränd 18
        ","
            Sofieberg,
          Tyresö kommun
        ","
                168
                ","
              359 m² tomt
            ","
            Slutpris 8 650 000 kr
        ","
            Såld 11 september 2022
          "
